Time,Tier,Annotation
6682,Gaze@CHI,glass
6682,Facial@MOT,invisible
6682,Gaze@MOT,invisible
6682,Action@CHI,holding the glass and a yellow ball
6683,Gaze@CHI,glass
6683,Facial@MOT,invisible
6683,Gaze@MOT,invisible
6683,Action@CHI,holding the glass and a yellow ball
6684,Gaze@CHI,glass
6684,Facial@MOT,invisible
6684,Gaze@MOT,invisible
6684,Action@CHI,holding the glass and a yellow ball
6685,Gaze@CHI,glass
6685,Facial@MOT,invisible
6685,Gaze@MOT,invisible
6685,Action@CHI,holding the glass and a yellow ball
6686,Gaze@CHI,glass
6686,Facial@MOT,invisible
6686,Gaze@MOT,invisible
6686,Action@CHI,holding the glass and a yellow ball
6687,Gaze@CHI,glass
6687,Facial@MOT,invisible
6687,Gaze@MOT,invisible
6687,Action@CHI,holding the glass and a yellow ball
6688,Gaze@CHI,glass
6688,Facial@MOT,invisible
6688,Gaze@MOT,invisible
6688,Action@CHI,holding the glass and a yellow ball
6689,Gaze@CHI,glass
6689,Facial@MOT,invisible
6689,Gaze@MOT,invisible
6689,Action@CHI,holding the glass and a yellow ball
6690,Gaze@CHI,glass
6690,Facial@MOT,invisible
6690,Gaze@MOT,invisible
6690,Action@CHI,holding the glass and a yellow ball
6691,Gaze@CHI,glass
6691,Facial@MOT,invisible
6691,Gaze@MOT,invisible
6691,Action@CHI,holding the glass and a yellow ball
6692,Gaze@CHI,glass
6692,Facial@MOT,invisible
6692,Gaze@MOT,invisible
6692,Action@CHI,holding the glass and a yellow ball
6693,Gaze@CHI,glass
6693,Facial@MOT,invisible
6693,Gaze@MOT,invisible
6693,Action@CHI,holding the glass and a yellow ball
6694,Gaze@CHI,glass
6694,Facial@MOT,invisible
6694,Gaze@MOT,invisible
6694,Action@CHI,holding the glass and a yellow ball
6695,Gaze@CHI,glass
6695,Facial@MOT,invisible
6695,Gaze@MOT,invisible
6695,Action@CHI,holding the glass and a yellow ball
6696,Gaze@CHI,glass
6696,Facial@MOT,invisible
6696,Gaze@MOT,invisible
6696,Action@CHI,holding the glass and a yellow ball
6697,Gaze@CHI,glass
6697,Facial@MOT,invisible
6697,Gaze@MOT,invisible
6697,Action@CHI,holding the glass and a yellow ball
6698,Gaze@CHI,glass
6698,Facial@MOT,invisible
6698,Gaze@MOT,invisible
6698,Action@CHI,holding the glass and a yellow ball
6699,Gaze@CHI,glass
6699,Facial@MOT,invisible
6699,Gaze@MOT,invisible
6699,Action@CHI,holding the glass and a yellow ball
6700,Gaze@CHI,glass
6700,Facial@MOT,invisible
6700,Gaze@MOT,invisible
6700,Action@CHI,holding the glass and a yellow ball
6701,Gaze@CHI,glass
6701,Facial@MOT,invisible
6701,Gaze@MOT,invisible
6701,Action@CHI,holding the glass and a yellow ball
6702,Gaze@CHI,glass
6702,Facial@MOT,invisible
6702,Gaze@MOT,invisible
6702,Action@CHI,holding the glass and a yellow ball
6703,Gaze@CHI,glass
6703,Facial@MOT,invisible
6703,Gaze@MOT,invisible
6703,Action@CHI,holding the glass and a yellow ball
6704,Gaze@CHI,glass
6704,Facial@MOT,invisible
6704,Gaze@MOT,invisible
6704,Action@CHI,holding the glass and a yellow ball
6705,Gaze@CHI,glass
6705,Facial@MOT,invisible
6705,Gaze@MOT,invisible
6705,Action@CHI,holding the glass and a yellow ball
6706,Gaze@CHI,glass
6706,Facial@MOT,invisible
6706,Gaze@MOT,invisible
6706,Action@CHI,holding the glass and a yellow ball
6707,Gaze@CHI,glass
6707,Facial@MOT,invisible
6707,Gaze@MOT,invisible
6707,Action@CHI,holding the glass and a yellow ball
6708,Gaze@CHI,glass
6708,Facial@MOT,invisible
6708,Gaze@MOT,invisible
6708,Action@CHI,holding the glass and a yellow ball
6709,Gaze@CHI,glass
6709,Facial@MOT,invisible
6709,Gaze@MOT,invisible
6709,Action@CHI,holding the glass and a yellow ball
6710,Gaze@CHI,glass
6710,Facial@MOT,invisible
6710,Gaze@MOT,invisible
6710,Action@CHI,holding the glass and a yellow ball
6711,Gaze@CHI,mom's hand
6711,Facial@MOT,invisible
6711,Utterance@MOT,Can I please have a ball?
6711,Prosody@MOT,rising
6711,Gaze@MOT,invisible
6711,Action@CHI,holding the glass and a yellow ball
6711,Action@MOT,extending a hand
6712,Gaze@CHI,mom's hand
6712,Facial@MOT,invisible
6712,Utterance@MOT,Can I please have a ball?
6712,Prosody@MOT,rising
6712,Gaze@MOT,invisible
6712,Action@CHI,holding the glass and a yellow ball
6712,Action@MOT,extending a hand
6713,Gaze@CHI,mom's hand
6713,Facial@MOT,invisible
6713,Utterance@MOT,Can I please have a ball?
6713,Prosody@MOT,rising
6713,Gaze@MOT,invisible
6713,Action@CHI,holding the glass and a yellow ball
6713,Action@MOT,extending a hand
6714,Gaze@CHI,mom's hand
6714,Facial@MOT,invisible
6714,Utterance@MOT,Can I please have a ball?
6714,Prosody@MOT,rising
6714,Gaze@MOT,invisible
6714,Action@CHI,holding the glass and a yellow ball
6714,Action@MOT,extending a hand
6715,Gaze@CHI,mom's hand
6715,Facial@MOT,invisible
6715,Utterance@MOT,Can I please have a ball?
6715,Prosody@MOT,rising
6715,Gaze@MOT,invisible
6715,Action@CHI,holding the glass and a yellow ball
6715,Action@MOT,extending a hand
6716,Gaze@CHI,mom's hand
6716,Facial@MOT,invisible
6716,Utterance@MOT,Can I please have a ball?
6716,Prosody@MOT,rising
6716,Gaze@MOT,invisible
6716,Action@CHI,holding the glass and a yellow ball
6716,Action@MOT,extending a hand
6717,Gaze@CHI,mom's hand
6717,Facial@MOT,invisible
6717,Utterance@MOT,Can I please have a ball?
6717,Prosody@MOT,rising
6717,Gaze@MOT,invisible
6717,Action@CHI,holding the glass and a yellow ball
6717,Action@MOT,extending a hand
6718,Gaze@CHI,mom's hand
6718,Facial@MOT,invisible
6718,Utterance@MOT,Can I please have a ball?
6718,Prosody@MOT,rising
6718,Gaze@MOT,invisible
6718,Action@CHI,holding the glass and a yellow ball
6718,Action@MOT,extending a hand
6719,Gaze@CHI,mom's hand
6719,Facial@MOT,invisible
6719,Utterance@MOT,Can I please have a ball?
6719,Prosody@MOT,rising
6719,Gaze@MOT,invisible
6719,Action@CHI,holding the glass and a yellow ball
6719,Action@MOT,extending a hand
6720,Gaze@CHI,mom's hand
6720,Facial@MOT,invisible
6720,Gaze@MOT,invisible
6720,Action@CHI,holding the glass and a yellow ball
6720,Action@MOT,extending a hand
6721,Gaze@CHI,mom's hand
6721,Facial@MOT,invisible
6721,Gaze@MOT,invisible
6721,Action@CHI,holding the glass and a yellow ball
6721,Action@MOT,extending a hand
6722,Gaze@CHI,mom's hand
6722,Facial@MOT,invisible
6722,Gaze@MOT,invisible
6722,Action@CHI,holding the glass and a yellow ball
6722,Action@MOT,extending a hand
6723,Gaze@CHI,mom's hand
6723,Facial@MOT,invisible
6723,Gaze@MOT,invisible
6723,Action@CHI,holding the glass and a yellow ball
6723,Action@MOT,extending a hand
6724,Gaze@CHI,mom's hand
6724,Facial@MOT,invisible
6724,Gaze@MOT,invisible
6724,Action@CHI,holding the glass and a yellow ball
6724,Action@MOT,extending a hand
6725,Gaze@CHI,mom's hand
6725,Facial@MOT,invisible
6725,Gaze@MOT,invisible
6725,Action@CHI,holding the glass and a yellow ball
6725,Action@MOT,extending a hand
6726,Gaze@CHI,mom's hand
6726,Facial@MOT,invisible
6726,Gaze@MOT,invisible
6726,Action@CHI,holding the glass and a yellow ball
6726,Action@MOT,extending a hand
6727,Gaze@CHI,mom's hand
6727,Facial@MOT,invisible
6727,Gaze@MOT,invisible
6727,Action@CHI,holding the glass and a yellow ball
6727,Action@MOT,extending a hand
6728,Gaze@CHI,mom's hand
6728,Facial@MOT,invisible
6728,Gaze@MOT,invisible
6728,Action@CHI,holding the glass and a yellow ball
6728,Action@MOT,extending a hand
6729,Gaze@CHI,mom's hand
6729,Facial@MOT,invisible
6729,Gaze@MOT,invisible
6729,Action@CHI,holding the glass and a yellow ball
6729,Action@MOT,extending a hand
6730,Gaze@CHI,mom's hand
6730,Facial@MOT,invisible
6730,Gaze@MOT,invisible
6730,Action@CHI,holding the glass and a yellow ball
6730,Action@MOT,extending a hand
6731,Gaze@CHI,mom's hand
6731,Facial@MOT,invisible
6731,Gaze@MOT,invisible
6731,Action@CHI,holding the glass and a yellow ball
6731,Action@MOT,picking up the ball
6732,Gaze@CHI,mom's hand
6732,Facial@MOT,invisible
6732,Gaze@MOT,invisible
6732,Action@CHI,dropping the glass
6732,Action@MOT,picking up the ball
6733,Gaze@CHI,mom's hand
6733,Facial@MOT,invisible
6733,Gaze@MOT,invisible
6733,Action@CHI,dropping the glass
6733,Action@MOT,picking up the ball
6734,Gaze@CHI,mom's hand
6734,Facial@MOT,invisible
6734,Gaze@MOT,invisible
6734,Action@CHI,dropping the glass
6734,Action@MOT,picking up the ball
6735,Gaze@CHI,mom's hand
6735,Facial@MOT,invisible
6735,Gaze@MOT,invisible
6735,Action@CHI,dropping the glass
6735,Action@MOT,picking up the ball
6736,Gaze@CHI,mom's hand
6736,Facial@MOT,invisible
6736,Gaze@MOT,invisible
6736,Action@CHI,dropping the glass
6736,Action@MOT,picking up the ball
6737,Gaze@CHI,mom's hand
6737,Facial@MOT,invisible
6737,Gaze@MOT,invisible
6737,Action@CHI,dropping the glass
6737,Action@MOT,picking up the ball
6738,Gaze@CHI,mom's hand
6738,Facial@MOT,invisible
6738,Gaze@MOT,invisible
6738,Action@CHI,dropping the glass
6738,Action@MOT,picking up the ball
6739,Gaze@CHI,mom's hand
6739,Facial@MOT,invisible
6739,Gaze@MOT,invisible
6739,Action@CHI,dropping the glass
6739,Action@MOT,picking up the ball
6740,Gaze@CHI,mom's hand
6740,Facial@MOT,invisible
6740,Gaze@MOT,invisible
6740,Action@CHI,dropping the glass
6740,Action@MOT,picking up the ball
6741,Gaze@CHI,mom's hand
6741,Facial@MOT,invisible
6741,Gaze@MOT,invisible
6741,Action@CHI,dropping the glass
6741,Action@MOT,picking up the ball
6742,Gaze@CHI,mom's hand
6742,Facial@MOT,invisible
6742,Gaze@MOT,invisible
6742,Action@CHI,dropping the glass
6742,Action@MOT,picking up the ball
6743,Gaze@CHI,mom's hand
6743,Facial@MOT,invisible
6743,Gaze@MOT,invisible
6743,Action@MOT,picking up the ball
6744,Gaze@CHI,mom's hand
6744,Facial@MOT,invisible
6744,Utterance@MOT,I take this one.
6744,Prosody@MOT,falling
6744,Gaze@MOT,invisible
6744,Action@MOT,picking up the ball
6745,Gaze@CHI,mom's hand
6745,Facial@MOT,invisible
6745,Utterance@MOT,I take this one.
6745,Prosody@MOT,falling
6745,Gaze@MOT,invisible
6745,Action@MOT,picking up the ball
6746,Gaze@CHI,mom's hand
6746,Facial@MOT,invisible
6746,Utterance@MOT,I take this one.
6746,Prosody@MOT,falling
6746,Gaze@MOT,invisible
6746,Action@MOT,picking up the ball
6747,Gaze@CHI,mom's hand
6747,Facial@MOT,invisible
6747,Utterance@MOT,I take this one.
6747,Prosody@MOT,falling
6747,Gaze@MOT,invisible
6747,Action@MOT,tossing the ball
6748,Gaze@CHI,mom's hand
6748,Facial@MOT,invisible
6748,Utterance@MOT,I take this one.
6748,Prosody@MOT,falling
6748,Gaze@MOT,invisible
6748,Action@MOT,tossing the ball
6749,Gaze@CHI,mom's hand
6749,Facial@MOT,invisible
6749,Gaze@MOT,invisible
6749,Action@MOT,tossing the ball
6750,Gaze@CHI,mom's hand
6750,Facial@MOT,invisible
6750,Gaze@MOT,invisible
6750,Action@MOT,tossing the ball
6751,Gaze@CHI,mom's hand
6751,Facial@MOT,invisible
6751,Gaze@MOT,invisible
6751,Action@MOT,tossing the ball
6752,Gaze@CHI,mom's hand
6752,Facial@MOT,invisible
6752,Gaze@MOT,invisible
6752,Action@MOT,tossing the ball
6753,Gaze@CHI,mom's hand
6753,Facial@MOT,invisible
6753,Gaze@MOT,invisible
6753,Action@MOT,tossing the ball
6754,Gaze@CHI,mom's hand
6754,Facial@MOT,invisible
6754,Gaze@MOT,invisible
6754,Action@MOT,tossing the ball
6755,Gaze@CHI,mom's hand
6755,Facial@MOT,invisible
6755,Utterance@MOT,Ready?
6755,Prosody@MOT,rising
6755,Gaze@MOT,invisible
6755,Action@MOT,tossing the ball
6756,Gaze@CHI,mom's hand
6756,Facial@MOT,invisible
6756,Utterance@MOT,Ready?
6756,Prosody@MOT,rising
6756,Gaze@MOT,invisible
6756,Action@MOT,tossing the ball
6757,Gaze@CHI,mom's hand
6757,Facial@MOT,invisible
6757,Utterance@MOT,Ready?
6757,Prosody@MOT,rising
6757,Gaze@MOT,invisible
6757,Action@MOT,tossing the ball
6758,Gaze@CHI,mom's hand
6758,Facial@MOT,invisible
6758,Gaze@MOT,invisible
6758,Action@MOT,tossing the ball
6759,Gaze@CHI,mom's hand
6759,Facial@MOT,invisible
6759,Gaze@MOT,invisible
6759,Action@MOT,tossing the ball
6760,Gaze@CHI,mom
6760,Facial@MOT,neutral
6760,Utterance@CHI,excited breathing
6760,Gaze@MOT,child
6760,Action@MOT,tossing the ball
6760,Arousal@CHI,middle
6761,Gaze@CHI,mom
6761,Facial@MOT,neutral
6761,Utterance@CHI,excited breathing
6761,Gaze@MOT,child
6761,Action@MOT,tossing the ball
6761,Arousal@CHI,middle
6762,Gaze@CHI,mom
6762,Facial@MOT,neutral
6762,Utterance@CHI,excited breathing
6762,Gaze@MOT,child
6762,Action@MOT,tossing the ball
6762,Arousal@CHI,middle
6763,Gaze@CHI,mom
6763,Facial@MOT,neutral
6763,Utterance@CHI,excited breathing
6763,Gaze@MOT,into the distance
6763,Action@MOT,tossing the ball
6763,Arousal@CHI,middle
6764,Gaze@CHI,mom
6764,Facial@MOT,neutral
6764,Utterance@CHI,excited breathing
6764,Gaze@MOT,into the distance
6764,Action@CHI,nodding
6764,Action@MOT,putting the ball in mouth
6764,Arousal@CHI,middle
6765,Gaze@CHI,mom
6765,Facial@MOT,neutral
6765,Utterance@CHI,excited breathing
6765,Gaze@MOT,into the distance
6765,Action@CHI,nodding
6765,Action@MOT,putting the ball in mouth
6765,Arousal@CHI,middle
6766,Gaze@CHI,mom
6766,Facial@MOT,neutral
6766,Utterance@CHI,excited breathing
6766,Gaze@MOT,into the distance
6766,Action@CHI,nodding
6766,Action@MOT,putting the ball in mouth
6766,Arousal@CHI,middle
6767,Gaze@CHI,mom
6767,Facial@MOT,neutral
6767,Utterance@CHI,excited breathing
6767,Gaze@MOT,into the distance
6767,Action@CHI,nodding
6767,Action@MOT,putting the ball in mouth
6767,Arousal@CHI,middle
6768,Gaze@CHI,mom
6768,Facial@MOT,neutral
6768,Utterance@CHI,excited breathing
6768,Gaze@MOT,into the distance
6768,Action@CHI,nodding
6768,Action@MOT,putting the ball in mouth
6768,Arousal@CHI,middle
6769,Gaze@CHI,mom
6769,Facial@MOT,neutral
6769,Utterance@CHI,excited breathing
6769,Gaze@MOT,into the distance
6769,Action@CHI,nodding
6769,Action@MOT,putting the ball in mouth
6769,Arousal@CHI,middle
6770,Gaze@CHI,mom
6770,Facial@MOT,neutral
6770,Utterance@CHI,excited breathing
6770,Gaze@MOT,into the distance
6770,Action@CHI,nodding
6770,Action@MOT,putting the ball in mouth
6770,Arousal@CHI,middle
6771,Gaze@CHI,mom
6771,Facial@MOT,neutral
6771,Utterance@CHI,excited breathing
6771,Gaze@MOT,into the distance
6771,Action@CHI,nodding
6771,Action@MOT,putting the ball in mouth
6771,Arousal@CHI,middle
6772,Gaze@CHI,mom
6772,Facial@MOT,neutral
6772,Utterance@CHI,excited breathing
6772,Gaze@MOT,into the distance
6772,Action@CHI,nodding
6772,Action@MOT,putting the ball in mouth
6772,Arousal@CHI,middle
6773,Gaze@CHI,mom
6773,Facial@MOT,neutral
6773,Utterance@CHI,excited breathing
6773,Gaze@MOT,into the distance
6773,Action@CHI,nodding
6773,Action@MOT,putting the ball in mouth
6773,Arousal@CHI,middle
6774,Gaze@CHI,mom
6774,Facial@MOT,neutral
6774,Utterance@CHI,excited breathing
6774,Gaze@MOT,child
6774,Action@CHI,nodding
6774,Action@MOT,putting the ball in mouth
6774,Arousal@CHI,middle
6775,Gaze@CHI,mom
6775,Facial@MOT,neutral
6775,Utterance@CHI,excited breathing
6775,Gaze@MOT,child
6775,Action@CHI,nodding
6775,Action@MOT,putting the ball in mouth
6775,Arousal@CHI,middle
6776,Gaze@CHI,mom
6776,Facial@MOT,neutral
6776,Utterance@CHI,excited breathing
6776,Gaze@MOT,child
6776,Action@CHI,nodding
6776,Action@MOT,putting the ball in mouth
6776,Arousal@CHI,middle
6777,Gaze@CHI,mom
6777,Facial@MOT,neutral
6777,Utterance@CHI,excited breathing
6777,Gaze@MOT,child
6777,Action@CHI,nodding
6777,Action@MOT,holding the ball in mouth
6777,Arousal@CHI,middle
6778,Gaze@CHI,mom
6778,Facial@MOT,neutral
6778,Utterance@CHI,excited breathing
6778,Gaze@MOT,child
6778,Action@CHI,nodding
6778,Action@MOT,holding the ball in mouth
6778,Arousal@CHI,middle
6779,Gaze@CHI,mom
6779,Facial@MOT,neutral
6779,Utterance@CHI,excited breathing
6779,Gaze@MOT,child
6779,Action@CHI,nodding
6779,Action@MOT,holding the ball in mouth
6779,Arousal@CHI,middle
6780,Gaze@CHI,mom
6780,Facial@MOT,neutral
6780,Utterance@CHI,excited breathing
6780,Gaze@MOT,child
6780,Action@CHI,nodding
6780,Action@MOT,holding the ball in mouth
6780,Arousal@CHI,middle
6781,Gaze@CHI,mom
6781,Facial@MOT,neutral
6781,Utterance@CHI,excited breathing
6781,Gaze@MOT,child
6781,Action@CHI,nodding
6781,Action@MOT,holding the ball in mouth
6781,Arousal@CHI,middle
6782,Gaze@CHI,mom
6782,Facial@MOT,neutral
6782,Utterance@CHI,excited breathing
6782,Gaze@MOT,child
6782,Action@CHI,nodding
6782,Action@MOT,holding the ball in mouth
6782,Laughable@CHI,mom spits the ball out of the mouth
6782,Arousal@CHI,middle
6783,Gaze@CHI,mom
6783,Facial@MOT,neutral
6783,Utterance@CHI,excited breathing
6783,Gaze@MOT,child
6783,Action@CHI,nodding
6783,Action@MOT,holding the ball in mouth
6783,Laughable@CHI,mom spits the ball out of the mouth
6783,Arousal@CHI,middle
6784,Gaze@CHI,mom
6784,Facial@MOT,neutral
6784,Utterance@CHI,excited breathing
6784,Gaze@MOT,child
6784,Action@CHI,nodding
6784,Action@MOT,holding the ball in mouth
6784,Laughable@CHI,mom spits the ball out of the mouth
6784,Arousal@CHI,middle
6785,Gaze@CHI,mom
6785,Facial@MOT,neutral
6785,Utterance@CHI,excited breathing
6785,Gaze@MOT,child
6785,Action@CHI,nodding
6785,Action@MOT,spitting out the ball
6785,Laughable@CHI,mom spits the ball out of the mouth
6785,Arousal@CHI,middle
6786,Gaze@CHI,mom
6786,Utterance@CHI,uh-huh
6786,Prosody@CHI,falling
6786,Gaze@MOT,child
6786,Action@CHI,nodding
6786,Action@MOT,spitting out the ball
6786,Laughable@CHI,mom spits the ball out of the mouth
6786,Arousal@CHI,middle
6787,Gaze@CHI,mom
6787,Utterance@CHI,uh-huh
6787,Prosody@CHI,falling
6787,Gaze@MOT,child
6787,Action@CHI,nodding
6787,Action@MOT,spitting out the ball
6787,Laughable@CHI,mom spits the ball out of the mouth
6787,Arousal@CHI,middle
6788,Gaze@CHI,mom
6788,Utterance@CHI,uh-huh
6788,Prosody@CHI,falling
6788,Gaze@MOT,child
6788,Action@CHI,nodding
6788,Action@MOT,spitting out the ball
6788,Laughable@CHI,mom spits the ball out of the mouth
6788,Arousal@CHI,middle
6789,Gaze@CHI,mom
6789,Utterance@CHI,uh-huh
6789,Prosody@CHI,falling
6789,Gaze@MOT,child
6789,Action@CHI,nodding
6789,Action@MOT,spitting out the ball
6790,Gaze@CHI,mom
6790,Facial@MOT,smile showing teeth
6790,Utterance@CHI,uh-huh
6790,Prosody@CHI,falling
6790,Gaze@MOT,child
6790,Action@CHI,nodding
6790,Action@MOT,spitting out the ball
6791,Gaze@CHI,mom
6791,Facial@MOT,smile showing teeth
6791,Utterance@CHI,uh-huh
6791,Prosody@CHI,falling
6791,Gaze@MOT,child
6791,Action@CHI,nodding
6791,Action@MOT,picking up the ball
6792,Gaze@CHI,mom
6792,Facial@MOT,smile showing teeth
6792,Utterance@CHI,uh-huh
6792,Prosody@CHI,falling
6792,Gaze@MOT,ball
6792,Action@MOT,picking up the ball
6793,Gaze@CHI,mom
6793,Facial@MOT,smile showing teeth
6793,Utterance@CHI,uh-huh
6793,Prosody@CHI,falling
6793,Gaze@MOT,ball
6793,Action@MOT,picking up the ball
6794,Gaze@CHI,mom
6794,Facial@MOT,smile showing teeth
6794,Utterance@CHI,uh-huh
6794,Prosody@CHI,falling
6794,Gaze@MOT,ball
6794,Action@MOT,picking up the ball
6795,Gaze@CHI,mom
6795,Facial@MOT,smile showing teeth
6795,Gaze@MOT,ball
6795,Action@MOT,picking up the ball
6796,Gaze@CHI,mom
6796,Facial@MOT,smile showing teeth
6796,Gaze@MOT,ball
6796,Action@MOT,picking up the ball
6796,Laughter@CHI,L
6796,Arousal@CHI,low
6796,ReactionReason@CHI,Violation of object schemas
6797,Gaze@CHI,mom
6797,Facial@MOT,smile showing teeth
6797,Gaze@MOT,ball
6797,Action@MOT,picking up the ball
6797,Laughter@CHI,L
6797,Arousal@CHI,low
6797,ReactionReason@CHI,Violation of object schemas
6798,Gaze@CHI,mom
6798,Facial@MOT,smile showing teeth
6798,Gaze@MOT,ball
6798,Action@MOT,picking up the ball
6798,Laughter@CHI,L
6798,Arousal@CHI,low
6798,ReactionReason@CHI,Violation of object schemas
6799,Gaze@CHI,mom
6799,Facial@MOT,smile showing teeth
6799,Gaze@MOT,ball
6799,Action@MOT,picking up the ball
6799,Laughter@CHI,L
6799,Arousal@CHI,low
6799,ReactionReason@CHI,Violation of object schemas
6800,Gaze@CHI,mom
6800,Facial@MOT,smile showing teeth
6800,Gaze@MOT,ball
6800,Action@MOT,picking up the ball
6800,Laughter@CHI,L
6800,Arousal@CHI,low
6800,ReactionReason@CHI,Violation of object schemas
6801,Gaze@CHI,ball
6801,Facial@MOT,smile showing teeth
6801,Gaze@MOT,ball
6801,Action@MOT,picking up the ball
6801,Laughter@CHI,L
6801,Arousal@CHI,low
6801,ReactionReason@CHI,Violation of object schemas
6802,Gaze@CHI,ball
6802,Facial@MOT,smile showing teeth
6802,Gaze@MOT,ball
6802,Action@MOT,picking up the ball
6802,Laughter@CHI,L
6802,Arousal@CHI,low
6802,ReactionReason@CHI,Violation of object schemas
6803,Gaze@CHI,ball
6803,Facial@MOT,invisible
6803,Gaze@MOT,ball
6803,Action@MOT,picking up the ball
6803,Laughter@CHI,L
6803,Arousal@CHI,low
6803,ReactionReason@CHI,Violation of object schemas
6804,Gaze@CHI,ball
6804,Facial@MOT,invisible
6804,Gaze@MOT,ball
6804,Action@MOT,picking up the ball
6804,Laughter@CHI,L
6804,Arousal@CHI,low
6804,ReactionReason@CHI,Violation of object schemas
6805,Gaze@CHI,ball
6805,Facial@MOT,invisible
6805,Gaze@MOT,ball
6805,Action@MOT,picking up the ball
6805,Laughter@CHI,L
6805,Arousal@CHI,low
6805,ReactionReason@CHI,Violation of object schemas
6806,Gaze@CHI,floor
6806,Facial@MOT,invisible
6806,Gaze@MOT,ball
6806,Action@MOT,picking up the ball
6807,Gaze@CHI,floor
6807,Facial@MOT,invisible
6807,Gaze@MOT,ball
6807,Action@MOT,picking up the ball
6808,Gaze@CHI,floor
6808,Facial@MOT,invisible
6808,Gaze@MOT,child
6808,Action@MOT,picking up the ball
6809,Gaze@CHI,floor
6809,Facial@MOT,invisible
6809,Utterance@MOT,Ready?
6809,Prosody@MOT,rising
6809,Gaze@MOT,child
6809,Action@MOT,picking up the ball
6810,Gaze@CHI,floor
6810,Facial@MOT,invisible
6810,Utterance@MOT,Ready?
6810,Prosody@MOT,rising
6810,Gaze@MOT,child
6810,Action@MOT,picking up the ball
6811,Gaze@CHI,floor
6811,Facial@MOT,invisible
6811,Utterance@MOT,Ready?
6811,Prosody@MOT,rising
6811,Gaze@MOT,child
6811,Action@MOT,picking up the ball
6812,Gaze@CHI,floor
6812,Facial@MOT,invisible
6812,Utterance@MOT,Ready?
6812,Prosody@MOT,rising
6812,Gaze@MOT,child
6812,Action@MOT,picking up the ball
6813,Gaze@CHI,mom
6813,Facial@MOT,invisible
6813,Utterance@MOT,Ready?
6813,Prosody@MOT,rising
6813,Gaze@MOT,child
6813,Action@MOT,picking up the ball
6814,Gaze@CHI,mom
6814,Facial@MOT,invisible
6814,Utterance@MOT,Ready?
6814,Prosody@MOT,rising
6814,Gaze@MOT,child
6814,Action@MOT,putting the ball in mouth
6815,Gaze@CHI,mom
6815,Facial@MOT,invisible
6815,Gaze@MOT,child
6815,Action@MOT,putting the ball in mouth
6816,Gaze@CHI,mom
6816,Facial@MOT,neutral
6816,Gaze@MOT,child
6816,Action@MOT,putting the ball in mouth
6817,Gaze@CHI,mom
6817,Facial@MOT,neutral
6817,Gaze@MOT,child
6817,Action@MOT,putting the ball in mouth
6818,Gaze@CHI,mom
6818,Facial@MOT,neutral
6818,Gaze@MOT,child
6818,Action@MOT,putting the ball in mouth
6819,Gaze@CHI,mom
6819,Facial@MOT,neutral
6819,Gaze@MOT,child
6819,Action@MOT,putting the ball in mouth
6820,Gaze@CHI,mom
6820,Facial@MOT,neutral
6820,Gaze@MOT,child
6820,Action@MOT,putting the ball in mouth
6821,Gaze@CHI,mom
6821,Facial@MOT,neutral
6821,Gaze@MOT,child
6821,Action@MOT,putting the ball in mouth
6822,Gaze@CHI,mom
6822,Facial@MOT,neutral
6822,Gaze@MOT,child
6822,Action@MOT,putting the ball in mouth
6823,Gaze@CHI,mom
6823,Facial@MOT,neutral
6823,Gaze@MOT,child
6823,Action@MOT,holding the ball in mouth
6824,Gaze@CHI,mom
6824,Facial@MOT,neutral
6824,Gaze@MOT,child
6824,Action@MOT,holding the ball in mouth
6825,Gaze@CHI,mom
6825,Facial@MOT,neutral
6825,Gaze@MOT,child
6825,Action@MOT,holding the ball in mouth
6826,Gaze@CHI,mom
6826,Facial@MOT,neutral
6826,Gaze@MOT,child
6826,Action@MOT,holding the ball in mouth
6827,Gaze@CHI,mom
6827,Facial@MOT,neutral
6827,Gaze@MOT,child
6827,Action@MOT,holding the ball in mouth
6828,Gaze@CHI,mom
6828,Facial@MOT,neutral
6828,Gaze@MOT,floor
6828,Action@MOT,holding the ball in mouth
6829,Gaze@CHI,mom
6829,Facial@MOT,neutral
6829,Gaze@MOT,floor
6829,Action@MOT,holding the ball in mouth
6829,Laughable@CHI,mom spits the ball out of the mouth
6830,Gaze@CHI,mom
6830,Facial@MOT,neutral
6830,Gaze@MOT,floor
6830,Action@MOT,spitting out the ball
6830,Laughable@CHI,mom spits the ball out of the mouth
6831,Gaze@CHI,mom
6831,Facial@MOT,neutral
6831,Gaze@MOT,floor
6831,Action@MOT,spitting out the ball
6831,Laughable@CHI,mom spits the ball out of the mouth
6832,Gaze@CHI,mom
6832,Facial@MOT,neutral
6832,Gaze@MOT,floor
6832,Action@MOT,spitting out the ball
6832,Laughable@CHI,mom spits the ball out of the mouth
6833,Gaze@CHI,mom
6833,Facial@MOT,neutral
6833,Gaze@MOT,floor
6833,Action@MOT,spitting out the ball
6834,Gaze@CHI,mom
6834,Facial@MOT,smile showing teeth
6834,Gaze@MOT,child
6834,Action@MOT,spitting out the ball
6834,Laughter@MOT,L
6835,Gaze@CHI,mom
6835,Facial@MOT,smile showing teeth
6835,Gaze@MOT,child
6835,Laughter@MOT,L
6836,Gaze@CHI,mom
6836,Facial@MOT,smile showing teeth
6836,Gaze@MOT,child
6836,Laughter@MOT,L
6837,Gaze@CHI,mom
6837,Facial@MOT,smile showing teeth
